id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
41,Kahdhoo,0,05:53,17:59,08:08,71%,29°C,cloudy,17.1 mm,E 06 mph,-,2019-10-01 12:00:05,2019-10-01 12:00:05
42,Kahdhoo,0,05:52,17:59,09:02,78%,28°C,cloudy,17.1 mm,E 10 mph,-,2019-10-02 00:00:10,2019-10-02 00:00:10
43,Kahdhoo,0,05:52,17:59,09:02,76%,29°C,fine,0.3 mm,ESE 07 mph,-,2019-10-02 12:00:10,2019-10-02 12:00:10
44,Kahdhoo,0,05:52,17:59,09:02,81%,28°C,fine,0.3 mm,E 06 mph,-,2019-10-03 00:00:03,2019-10-03 00:00:03
45,Kahdhoo,0,05:52,17:59,09:02,96%,25°C,cloudy,8.9 mm,W 03 mph,-,2019-10-04 00:00:08,2019-10-04 00:00:08
46,Kahdhoo,0,05:52,17:58,10:51,89%,27°C,fine,32.6 mm,VARIABLE 02t mph,-,2019-10-05 00:00:05,2019-10-05 00:00:05
47,Kahdhoo,0,05:51,17:58,11:44,74%,30°C,partly cloudy,2.2 mm,WSW 05 mph,-,2019-10-05 12:00:05,2019-10-05 12:00:05
48,Kahdhoo,0,05:51,17:57,12:36,90%,26°C,cloudy,2.2 mm,CALM,-,2019-10-06 00:00:04,2019-10-06 00:00:04
49,Kahdhoo,0,05:51,17:57,12:36,76%,29°C,partly cloudy,TRACE,SSE 06 mph,-,2019-10-06 12:00:10,2019-10-06 12:00:10
50,Kahdhoo,0,05:51,17:57,13:26,84%,27°C,slight rain,TRACE,SSE 05 mph,-,2019-10-07 00:00:10,2019-10-07 00:00:10
51,Kahdhoo,0,05:51,17:57,13:26,75%,30°C,cloudy,TRACE,S 06 mph,-,2019-10-07 12:00:06,2019-10-07 12:00:06
52,Kahdhoo,0,05:51,17:57,13:26,81%,27°C,lightning,TRACE,E 06 mph,-,2019-10-08 00:00:05,2019-10-08 00:00:05
