id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
40,Kaadehdhoo,0,05:55,18:02,06:22,81%,27°C,fine,18.1 mm,E 06 mph,-,2019-09-30 00:00:05,2019-09-30 00:00:05
41,Kaadehdhoo,0,05:55,18:02,07:16,75%,30°C,fine,12.0 mm,SSE 06 mph,-,2019-09-30 12:00:10,2019-09-30 12:00:10
42,Kaadehdhoo,0,05:55,18:02,07:16,86%,28°C,slight rain,12.0 mm,SSE 05 mph,-,2019-10-01 00:00:06,2019-10-01 00:00:06
43,Kaadehdhoo,0,05:54,18:01,08:09,77%,30°C,partly cloudy,2.3 mm,E 06 mph,-,2019-10-01 12:00:09,2019-10-01 12:00:09
44,Kaadehdhoo,0,05:54,18:01,08:09,82%,28°C,partly cloudy,2.3 mm,ESE 08 mph,-,2019-10-02 00:00:10,2019-10-02 00:00:10
45,Kaadehdhoo,0,05:54,18:01,08:09,76%,31°C,fine,TRACE,SE 06 mph,-,2019-10-02 12:00:05,2019-10-02 12:00:05
46,Kaadehdhoo,0,05:54,18:01,09:57,76%,30°C,partly cloudy,TRACE,E 05 mph,-,2019-10-03 12:00:06,2019-10-03 12:00:06
47,Kaadehdhoo,0,05:54,18:01,09:57,89%,27°C,cloudy,TRACE,Variable 01 mph,-,2019-10-04 00:00:04,2019-10-04 00:00:04
48,Kaadehdhoo,0,05:54,18:01,09:57,77%,29°C,partly cloudy,9.3 mm,NNE 05 mph,-,2019-10-04 12:00:04,2019-10-04 12:00:04
49,Kaadehdhoo,0,05:54,18:01,09:57,92%,26°C,lightning,9.3 mm,VARIABLE 02 mph,-,2019-10-05 00:00:06,2019-10-05 00:00:06
50,Kaadehdhoo,0,05:53,18:00,11:44,81%,29°C,partly cloudy,15.1 mm,W 06 mph,-,2019-10-05 12:00:11,2019-10-05 12:00:11
51,Kaadehdhoo,0,05:53,18:00,11:44,93%,25°C,cloudy,15.1 mm,WSW 06 mph,-,2019-10-06 00:00:05,2019-10-06 00:00:05
52,Kaadehdhoo,0,05:53,18:00,11:44,77%,30°C,partly cloudy,29.9 mm,SE 08 mph,-,2019-10-06 12:00:05,2019-10-06 12:00:05
53,Kaadehdhoo,0,05:53,18:00,11:44,82%,28°C,cloudy,29.9 mm,ESE 07 mph,-,2019-10-07 00:00:05,2019-10-07 00:00:05
54,Kaadehdhoo,0,05:53,18:00,13:26,79%,28°C,slight shower,29.9 mm,SE 03 mph,-,2019-10-07 12:00:05,2019-10-07 12:00:05
55,Kaadehdhoo,0,05:52,17:59,14:14,78%,29°C,fine,29.9 mm,SE 07 mph,-,2019-10-08 12:00:07,2019-10-08 12:00:07
56,Kaadehdhoo,0,05:52,17:59,14:14,84%,27°C,fine,29.9 mm,SSE 03 mph,-,2019-10-09 00:00:05,2019-10-09 00:00:05
57,Kaadehdhoo,0,05:52,17:59,14:14,74%,30°C,fine,29.9 mm,ESE 03 mph,-,2019-10-09 12:00:08,2019-10-09 12:00:08
58,Kaadehdhoo,0,05:52,17:59,14:14,83%,28°C,partly cloudy,29.9 mm,SE 03 mph,-,2019-10-10 00:00:09,2019-10-10 00:00:09
59,Kaadehdhoo,0,05:52,17:59,14:14,81%,29°C,cloudy,0.3 mm,SSE 08 mph,-,2019-10-10 12:00:10,2019-10-10 12:00:10
60,Kaadehdhoo,0,05:52,17:59,14:14,92%,27°C,moderate shower,0.3 mm,ESE 03 mph,-,2019-10-11 12:00:05,2019-10-11 12:00:05
61,Kaadehdhoo,0,05:52,17:59,14:14,98%,25°C,thundershower,0.3 mm,E 07 mph,-,2019-10-12 00:00:10,2019-10-12 00:00:10
62,Kaadehdhoo,0,05:51,17:58,17:06,90%,26°C,cloudy,37.1 mm,S 08 mph,-,2019-10-12 12:00:06,2019-10-12 12:00:06
63,Kaadehdhoo,0,05:51,17:58,17:48,75%,31°C,fine,3.7 mm,ESE 08 mph,-,2019-10-13 12:00:06,2019-10-13 12:00:06
