id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
42,Gan,1,05:53,18:01,09:01,80%,28°C,partly cloudy,TRACE,SE 21 mph,6:36,2019-10-02 00:00:05,2019-10-02 00:00:05
43,Gan,1,05:53,18:01,09:01,69%,32°C,partly cloudy,TRACE,SE 17 mph,6:36,2019-10-02 12:00:11,2019-10-02 12:00:11
44,Gan,1,05:53,18:01,09:01,86%,28°C,thunder,TRACE,SE 10 mph,6:36,2019-10-03 00:00:04,2019-10-03 00:00:04
45,Gan,1,06:11,18:16,17:55,95%,26°C,slight shower,73.8 mm,ESE 10 mph,6:36,2019-10-03 12:00:09,2019-10-03 12:00:09
46,Gan,1,06:11,18:16,17:55,91%,26°C,thunder,73.8 mm,NW 05 mph,3:36,2019-10-04 00:00:04,2019-10-04 00:00:04
47,Gan,1,06:11,18:16,17:55,81%,29°C,fine,33.2 mm,ENE 05 mph,3:36,2019-10-04 12:00:10,2019-10-04 12:00:10
48,Gan,1,06:11,18:16,17:55,82%,27°C,partly cloudy,33.2 mm,NE 07 mph,7:18,2019-10-05 00:00:04,2019-10-05 00:00:04
49,Gan,1,05:52,18:00,11:41,70%,30°C,fine,TRACE,SSW 07 mph,7:18,2019-10-05 12:00:06,2019-10-05 12:00:06
50,Gan,1,05:52,18:00,11:41,90%,27°C,lightning,TRACE,CALM,9:12,2019-10-06 00:00:10,2019-10-06 00:00:10
51,Gan,1,05:52,18:00,12:33,82%,28°C,partly cloudy,4.7 mm,SE 17 mph,9:12,2019-10-06 12:00:10,2019-10-06 12:00:10
52,Gan,1,05:52,18:00,12:33,87%,27°C,slight shower,4.7 mm,ESE 06 mph,0:0,2019-10-07 00:00:10,2019-10-07 00:00:10
53,Gan,1,05:52,18:00,12:33,76%,29°C,partly cloudy,7.3 mm,SW 08 mph,0:0,2019-10-07 12:00:05,2019-10-07 12:00:05
54,Gan,1,05:51,17:59,14:11,83%,27°C,fine,7.3 mm,SE 11 mph,6:54,2019-10-08 00:00:05,2019-10-08 00:00:05
55,Gan,1,05:51,17:59,14:11,68%,30°C,fine,7.3 mm,SE 14 mph,6:54,2019-10-08 12:00:11,2019-10-08 12:00:11
56,Gan,1,05:51,17:59,14:11,87%,26°C,fine,7.3 mm,SSE 07 mph,11:0,2019-10-09 00:00:05,2019-10-09 00:00:05
57,Gan,1,05:51,17:59,14:57,74%,31°C,partly cloudy,NIL,SE 10 mph,11:0,2019-10-09 12:00:09,2019-10-09 12:00:09
58,Gan,1,05:51,17:59,14:57,87%,27°C,partly cloudy,NIL,SSE 12 mph,7:06,2019-10-10 00:00:04,2019-10-10 00:00:04
59,Gan,1,05:51,17:58,15:41,79%,30°C,cloudy,TRACE,SE 15 mph,7:06,2019-10-10 12:00:06,2019-10-10 12:00:06
60,Gan,1,05:50,17:58,16:24,82%,28°C,fine,TRACE,ESE 08 mph,4:54,2019-10-11 00:00:06,2019-10-11 00:00:06
61,Gan,1,05:50,17:58,16:24,70%,31°C,fine,NIL,SE 12 mph,4:54,2019-10-11 12:00:10,2019-10-11 12:00:10
62,Gan,1,05:50,17:58,17:05,90%,27°C,slight shower,NIL,ESE 15 mph,8:30,2019-10-12 00:00:05,2019-10-12 00:00:05
63,Gan,1,05:50,17:58,17:05,100%,24°C,modrate rain,110.9 mm,W 06 mph,8:30,2019-10-12 12:00:04,2019-10-12 12:00:04
64,Gan,1,05:52,18:00,12:33,89%,26°C,partly cloudy,110.9 mm,ESE 10 mph,0:0,2019-10-13 00:00:04,2019-10-13 00:00:04
65,Gan,1,05:50,17:58,17:47,77%,30°C,fine,55.6 mm,SE 13 mph,0:0,2019-10-13 12:00:08,2019-10-13 12:00:08
66,Gan,1,05:50,17:58,17:47,85%,28°C,fine,55.6 mm,E 07 mph,9:24,2019-10-14 00:00:10,2019-10-14 00:00:10
67,Gan,1,05:49,17:58,18:29,92%,26°C,slight rain,8.4 mm,E 03 mph,9:24,2019-10-14 12:00:06,2019-10-14 12:00:06
68,Gan,1,05:49,17:58,18:29,95%,26°C,cloudy,8.4 mm,ESE 07 mph,0:0,2019-10-15 00:00:06,2019-10-15 00:00:06
69,Gan,1,05:52,18:00,12:33,95%,26°C,fine,46.3 mm,CALM,0:30,2019-10-16 00:00:06,2019-10-16 00:00:06
70,Gan,1,05:49,17:57,19:59,80%,30°C,fine,19.3 mm,SE 10 mph,0:30,2019-10-16 12:00:07,2019-10-16 12:00:07
71,Gan,1,05:49,17:57,20:48,92%,27°C,cloudy,19.3 mm,SE 10 mph,8:12,2019-10-17 00:00:06,2019-10-17 00:00:06
72,Gan,1,05:49,17:57,20:48,75%,30°C,fine,3.3 mm,E 09 mph,8:12,2019-10-17 12:00:06,2019-10-17 12:00:06
73,Gan,1,05:49,17:57,20:48,85%,28°C,fine,3.3 mm,SE 12 mph,9:12,2019-10-18 00:00:05,2019-10-18 00:00:05
74,Gan,1,05:48,17:57,21:39,75%,30°C,fine,TRACE,SE 13 mph,9:12,2019-10-18 12:00:06,2019-10-18 12:00:06
75,Gan,1,05:48,17:57,21:39,83%,27°C,fine,TRACE,SE 08 mph,5:36,2019-10-19 00:00:04,2019-10-19 00:00:04
76,Gan,1,05:48,17:57,22:23,72%,30°C,fine,TRACE,SE 12 mph,5:36,2019-10-19 12:00:04,2019-10-19 12:00:04
77,Gan,1,05:48,17:57,22:23,83%,28°C,fine,TRACE,SSE 08 mph,6:54,2019-10-20 00:00:05,2019-10-20 00:00:05
78,Gan,1,05:00,17:56,23:29,74%,31°C,partly cloudy,NIL,SSE 14 mph,6:54,2019-10-20 12:00:06,2019-10-20 12:00:06
79,Gan,1,05:00,17:56,23:29,79%,28°C,fine,NIL,SSE 09 mph,10:0,2019-10-21 00:00:10,2019-10-21 00:00:10
80,Gan,1,05:52,18:00,12:33,73%,30°C,fine,NIL,SSE 10 mph,10:0,2019-10-21 12:00:05,2019-10-21 12:00:05
81,Gan,1,05:52,18:00,12:33,86%,27°C,fine,NIL,SE 08 mph,10:18,2019-10-22 00:00:05,2019-10-22 00:00:05
82,Gan,1,05:48,17:56,00:26,69%,31°C,fine,NIL,ESE 10 mph,10:18,2019-10-22 12:00:07,2019-10-22 12:00:07
83,Gan,1,05:48,17:56,00:26,82%,28°C,fine,NIL,SE 13 mph,7:12,2019-10-23 00:00:23,2019-10-23 00:00:23
84,Gan,1,05:47,17:56,01:23,86%,28°C,slight shower,NIL,SE 14 mph,7:12,2019-10-23 12:00:04,2019-10-23 12:00:04
85,Gan,1,05:47,17:56,01:23,99%,25°C,cloudy,NIL,W 03 mph,6:24,2019-10-24 00:00:05,2019-10-24 00:00:05
86,Gan,1,05:47,17:56,02:19,88%,27°C,cloudy,26.1 mm,SE 08 mph,0:18,2019-10-25 00:00:10,2019-10-25 00:00:10
87,Gan,1,05:47,17:56,03:13,75%,30°C,cloudy,0.6 mm,ESE 13 mph,0:18,2019-10-25 12:00:05,2019-10-25 12:00:05
88,Gan,1,05:47,17:56,03:13,85%,28°C,cloudy,0.6 mm,ESE 14 mph,0:24,2019-10-26 00:00:10,2019-10-26 00:00:10
89,Gan,1,05:47,17:56,04:06,75%,31°C,hazy,16.5 mm,SE 15 mph,0:24,2019-10-26 12:00:04,2019-10-26 12:00:04
90,Gan,1,05:47,17:56,04:59,73%,30°C,partly cloudy,0.7 mm,E 09 mph,0:24,2019-10-27 12:00:11,2019-10-27 12:00:11
91,Gan,1,05:47,17:56,04:59,86%,27°C,fine,0.7 mm,ESE 08 mph,5:36,2019-10-28 00:00:10,2019-10-28 00:00:10
92,Gan,1,05:47,17:55,05:51,74%,30°C,fine,NIL,E 12 mph,5:36,2019-10-28 12:00:06,2019-10-28 12:00:06
93,Gan,1,05:47,17:56,06:45,75%,30°C,fine,NIL,S 09 mph,10:24,2019-10-29 12:00:07,2019-10-29 12:00:07
94,Gan,1,05:47,17:56,06:45,85%,28°C,fine,NIL,SSE 09 mph,8:48,2019-10-30 00:00:10,2019-10-30 00:00:10
95,Gan,1,05:47,17:55,07:40,94%,26°C,slight rain,21.4 mm,SSE 09 mph,8:48,2019-10-30 12:00:05,2019-10-30 12:00:05
96,Gan,1,05:47,17:55,07:40,70%,30°C,fine,5.3 mm,SE 11 mph,1:42,2019-10-31 12:00:10,2019-10-31 12:00:10
97,Gan,1,05:46,17:55,09:30,84%,27°C,fine,5.3 mm,09 mph,6:18,2019-11-01 00:00:10,2019-11-01 00:00:10
98,Gan,1,05:46,17:55,09:30,69%,31°C,fine,NIL,E 09 mph,6:18,2019-11-01 12:00:06,2019-11-01 12:00:06
99,Gan,1,05:46,17:55,09:30,90%,26°C,fine,NIL,CALM,9:54,2019-11-02 00:00:04,2019-11-02 00:00:04
100,Gan,1,05:46,17:55,09:30,72%,31°C,fine,NIL,ESE 10 mph,9:54,2019-11-02 12:00:10,2019-11-02 12:00:10
101,Gan,1,05:46,17:55,09:30,92%,26°C,fine,NIL,CALM,8:48,2019-11-03 00:00:04,2019-11-03 00:00:04
102,Gan,1,05:46,17:55,11:16,74%,30°C,fine,NIL,ESE 06 mph,8:48,2019-11-03 12:00:08,2019-11-03 12:00:08
103,Gan,1,05:46,17:55,11:16,79%,28°C,fine,NIL,WSW 05 mph,11:42,2019-11-04 00:00:06,2019-11-04 00:00:06
104,Gan,1,05:46,17:55,11:16,78%,29°C,fine,NIL,W 06 mph,11:42,2019-11-04 12:00:10,2019-11-04 12:00:10
105,Gan,1,05:46,17:55,12:53,90%,26°C,fine,NIL,CALM,7:12,2019-11-05 00:00:10,2019-11-05 00:00:10
106,Gan,1,05:46,17:55,12:53,77%,29°C,partly cloudy,0.2 mm,S 06 mph,7:12,2019-11-05 12:00:09,2019-11-05 12:00:09
107,Gan,1,05:46,17:55,13:38,83%,27°C,fine,0.2 mm,SW 06 mph,5:24,2019-11-06 00:00:10,2019-11-06 00:00:10
108,Gan,1,05:46,17:55,13:38,72%,30°C,fine,NIL,WSW 07 mph,5:24,2019-11-06 12:00:08,2019-11-06 12:00:08
109,Gan,1,05:46,17:55,13:38,86%,27°C,fine,NIL,VARIABLE 02 mph,11:24,2019-11-07 00:00:05,2019-11-07 00:00:05
110,Gan,1,05:46,17:55,14:21,71%,30°C,fine,NIL,SW 08 mph,11:24,2019-11-07 12:00:10,2019-11-07 12:00:10
111,Gan,1,05:46,17:55,14:21,84%,27°C,fine,NIL,S 03 mph,10:42,2019-11-08 00:00:05,2019-11-08 00:00:05
112,Gan,1,05:46,17:56,15:03,71%,31°C,fine,NIL,SW 07 mph,10:42,2019-11-08 12:00:04,2019-11-08 12:00:04
113,Gan,1,05:46,17:56,15:03,93%,24°C,slight shower,NIL,SSW 06 mph,10:36,2019-11-09 00:00:05,2019-11-09 00:00:05
114,Gan,1,05:46,17:56,15:44,77%,30°C,fine,7.8 mm,ESE 08 mph,10:36,2019-11-09 12:00:06,2019-11-09 12:00:06
115,Gan,1,05:46,17:56,15:44,82%,28°C,cloudy,7.8 mm,SE 08 mph,11:0,2019-11-10 00:00:12,2019-11-10 00:00:12
116,Gan,1,05:46,17:56,15:44,90%,27°C,cloudy,14.4 mm,SE 10 mph,11:0,2019-11-10 12:00:05,2019-11-10 12:00:05
117,Gan,1,05:46,17:56,15:44,92%,26°C,cloudy,14.4 mm,SE 13 mph,4:42,2019-11-11 00:00:04,2019-11-11 00:00:04
118,Gan,1,05:47,17:56,17:10,77%,31°C,fine,3.4 mm,ESE 08 mph,4:42,2019-11-11 12:00:05,2019-11-11 12:00:05
119,Gan,1,05:47,17:56,17:55,83%,28°C,fine,3.4 mm,ESE 09 mph,9:54,2019-11-12 00:00:10,2019-11-12 00:00:10
120,Gan,1,05:47,17:56,17:55,70%,31°C,fine,NIL,ESE 13 mph,9:54,2019-11-12 12:00:07,2019-11-12 12:00:07
121,Gan,1,05:48,17:58,01:06,74%,30°C,fine,NIL,SE 14 mph,6:54,2019-11-21 17:08:46,2019-11-21 17:08:46
122,Gan,1,05:48,17:58,01:06,79%,28°C,partly cloudy,NIL,ESE 09 mph,2:54,2019-11-22 00:00:04,2019-11-22 00:00:04
123,Gan,1,05:48,17:58,01:57,78%,30°C,fine,2.2 mm,E 07 mph,2:54,2019-11-22 12:00:05,2019-11-22 12:00:05
124,Gan,1,05:49,17:58,02:48,73%,31°C,fine,NIL,E 08 mph,10:36,2019-11-23 12:00:07,2019-11-23 12:00:07
125,Gan,1,05:49,17:58,02:48,86%,27°C,fine,NIL,ESE 10 mph,11:06,2019-11-24 00:00:09,2019-11-24 00:00:09
126,Gan,1,05:49,17:59,03:39,87%,27°C,fine,NIL,ESE 10 mph,11:06,2019-11-24 00:09:39,2019-11-24 00:09:39
127,Gan,1,05:49,17:59,03:39,75%,31°C,fine,1.5 mm,SE 13 mph,11:06,2019-11-24 12:00:10,2019-11-24 12:00:10
128,Gan,1,05:49,17:59,03:39,97%,26°C,cloudy,1.5 mm,E 05 mph,10:48,2019-11-25 00:00:06,2019-11-25 00:00:06
129,Gan,1,05:49,17:59,03:39,80%,30°C,cloudy,22.8 mm,ESE 10 mph,10:48,2019-11-25 12:00:05,2019-11-25 12:00:05
130,Gan,1,05:49,17:59,03:39,88%,28°C,partly cloudy,22.8 mm,SE 13 mph,6:24,2019-11-26 00:00:05,2019-11-26 00:00:05
131,Gan,1,05:49,17:59,05:24,77%,31°C,fine,4.5 mm,ESE 14 mph,6:24,2019-11-26 12:00:04,2019-11-26 12:00:04
132,Gan,1,05:49,17:59,05:24,97%,26°C,cloudy,4.5 mm,CALM,8:48,2019-11-27 00:00:05,2019-11-27 00:00:05
133,Gan,1,05:50,18:00,06:19,89%,28°C,cloudy,4.5 mm,SSE 07 mph,8:48,2019-11-27 12:00:08,2019-11-27 12:00:08
134,Gan,1,05:50,18:00,07:15,97%,26°C,cloudy,4.5 mm,ESE 05 mph,6:12,2019-11-28 00:00:04,2019-11-28 00:00:04
135,Gan,1,05:50,18:00,07:15,81%,29°C,cloudy,10.2 mm,SSE 07 mph,6:12,2019-11-28 12:00:04,2019-11-28 12:00:04
136,Gan,1,05:50,18:00,07:15,97%,26°C,cloudy,10.2 mm,W 03 mph,1:18,2019-11-29 00:00:10,2019-11-29 00:00:10
137,Gan,1,05:50,18:00,08:11,100%,25°C,slight rain,7.0 mm,SW 09 mph,1:18,2019-11-29 12:00:04,2019-11-29 12:00:04
138,Gan,1,05:50,18:00,08:11,100%,25°C,slight rain,7.0 mm,CALM,0:0,2019-11-30 00:00:11,2019-11-30 00:00:11
139,Gan,1,05:51,18:01,09:05,84%,29°C,cloudy,81.8 mm,SW 08 mph,0:0,2019-11-30 12:00:08,2019-11-30 12:00:08
140,Gan,1,05:51,18:01,09:05,93%,26°C,cloudy,81.8 mm,S 05 mph,0:42,2019-12-01 00:00:08,2019-12-01 00:00:08
141,Gan,1,05:51,18:01,09:57,77%,30°C,partly cloudy,TRACE,SSW 06 mph,0:42,2019-12-01 12:00:05,2019-12-01 12:00:05
142,Gan,1,05:51,18:01,10:46,93%,26°C,partly cloudy,TRACE,SE 05 mph,5:12,2019-12-02 00:00:05,2019-12-02 00:00:05
143,Gan,1,05:51,18:01,10:46,77%,31°C,fine,NIL,se 14 mph,5:12,2019-12-02 12:00:05,2019-12-02 12:00:05
144,Gan,1,05:51,18:01,10:46,83%,28°C,fine,NIL,ESE 13 mph,8:06,2019-12-03 00:00:06,2019-12-03 00:00:06
145,Gan,1,05:52,18:02,11:32,76%,31°C,fine,TRACE,E 09 mph,8:06,2019-12-03 12:00:03,2019-12-03 12:00:03
146,Gan,1,05:52,18:02,11:32,87%,28°C,fine,TRACE,ESE 08 mph,10:54,2019-12-04 00:00:06,2019-12-04 00:00:06
147,Gan,1,05:52,18:02,12:16,80%,31°C,fine,TRACE,S 09 mph,10:54,2019-12-04 12:00:09,2019-12-04 12:00:09
148,Gan,1,05:52,18:02,12:16,87%,28°C,fine,TRACE,ESE 06 mph,6:18,2019-12-05 00:00:04,2019-12-05 00:00:04
149,Gan,1,05:52,18:02,12:16,73%,31°C,fine,NIL,E 08 mph,6:18,2019-12-05 12:00:06,2019-12-05 12:00:06
150,Gan,1,05:52,18:02,12:16,88%,28°C,lightning,NIL,E 07 mph,7:06,2019-12-06 00:00:11,2019-12-06 00:00:11
151,Gan,1,05:52,18:02,12:16,82%,30°C,cloudy,22.9 mm,SE 13 mph,7:06,2019-12-06 12:00:04,2019-12-06 12:00:04
152,Gan,1,05:52,18:02,12:16,82%,28°C,fine,22.9 mm,ESE 10 mph,5:30,2019-12-07 00:00:05,2019-12-07 00:00:05
153,Gan,1,05:53,18:03,14:21,74%,31°C,fine,9.2 mm,ESE 10 mph,5:30,2019-12-07 12:00:06,2019-12-07 12:00:06
154,Gan,1,05:54,18:04,15:04,71%,31°C,fine,4.6 mm,ESE 11 mph,10:48,2019-12-08 12:00:10,2019-12-08 12:00:10
155,Gan,1,05:54,18:04,15:04,89%,28°C,partly cloudy,4.6 mm,ESE 10 mph,10:42,2019-12-09 00:00:07,2019-12-09 00:00:07
