id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
40,Hanimadhoo,1,05:53,17:59,06:19,83%,28°C,cloudy,NIL,E 03 mph,0:18,2019-09-30 00:00:05,2019-09-30 00:00:05
41,Hanimadhoo,1,05:53,17:59,07:15,82%,28°C,cloudy,NIL,E 05 mph,0:18,2019-09-30 12:00:05,2019-09-30 12:00:05
42,Hanimadhoo,1,05:53,17:59,07:15,96%,25°C,cloudy,NIL,VARIABLE 02 mph,0:18,2019-10-01 00:00:07,2019-10-01 00:00:07
43,Hanimadhoo,1,05:53,17:59,07:15,69%,30°C,cloudy,33.6 mm,S 08 mph,0:18,2019-10-01 12:00:10,2019-10-01 12:00:10
44,Hanimadhoo,1,05:53,17:59,07:15,79%,28°C,fine,33.6 mm,ESE 06 mph,0:18,2019-10-02 00:00:05,2019-10-02 00:00:05
45,Hanimadhoo,1,05:53,17:58,09:05,75%,30°C,fine,NIL,NE 09 mph,0:18,2019-10-02 12:00:09,2019-10-02 12:00:09
46,Hanimadhoo,1,05:53,17:58,09:05,85%,27°C,fine,NIL,ESE 03 mph,10:54,2019-10-03 00:00:11,2019-10-03 00:00:11
47,Hanimadhoo,1,05:53,17:58,10:00,75%,31°C,partly cloudy,NIL,NNW 06 mph,10:54,2019-10-03 12:00:05,2019-10-03 12:00:05
48,Hanimadhoo,1,05:53,17:58,10:00,86%,26°C,lightning,NIL,NNW 03 mph,9:30,2019-10-04 00:00:04,2019-10-04 00:00:04
49,Hanimadhoo,1,05:52,17:57,10:55,92%,26°C,cloudy,5.3 mm,SSW 06 mph,9:30,2019-10-04 12:00:06,2019-10-04 12:00:06
50,Hanimadhoo,1,05:52,17:57,10:55,84%,28°C,fine,5.3 mm,W 03 mph,2:48,2019-10-05 00:00:05,2019-10-05 00:00:05
51,Hanimadhoo,1,05:52,17:57,10:55,71%,31°C,fine,4.3 mm,WNW 06 mph,2:48,2019-10-05 12:00:06,2019-10-05 12:00:06
52,Hanimadhoo,1,05:52,17:57,10:55,81%,28°C,lightning,4.3 mm,WSW 08 mph,11:06,2019-10-06 00:00:04,2019-10-06 00:00:04
53,Hanimadhoo,1,05:52,17:56,12:40,76%,30°C,partly cloudy,0.2 mm,SSE 05 mph,11:06,2019-10-06 12:00:10,2019-10-06 12:00:10
